V1,V2,V3,V4,V5,V6,V7
12/12/2023,542.165.002.741,09/01/2024,28,"133,0000","133,000","133,000"
07/12/2023,16.950.000.000,04/01/2024,28,"133,0000","133,000","133,000"
05/12/2023,28.648.000.000,02/01/2024,28,"133,0000","133,000","133,000"
30/11/2023,56.788.041.110,28/12/2023,28,"133,0000","133,000","133,000"
28/11/2023,352.161.704.142,26/12/2023,28,"133,0000","133,000","133,000"
23/11/2023,190.810.000.000,21/12/2023,28,"133,0000","133,000","133,000"
21/11/2023,1.073.730.000.000,19/12/2023,28,"133,0000","133,000","133,000"
16/11/2023,1.030.418.135.348,14/12/2023,28,"133,0000","133,000","133,000"
14/11/2023,2.075.203.913.871,12/12/2023,28,"133,0000","133,000","133,000"
09/11/2023,1.150.784.466.304,07/12/2023,28,"133,0000","133,000","133,000"
07/11/2023,1.572.122.216.444,05/12/2023,28,"133,0000","133,000","133,000"
02/11/2023,2.052.357.736.998,30/11/2023,28,"133,0000","133,000","133,000"
31/10/2023,1.543.087.521.116,28/11/2023,28,"133,0000","133,000","133,000"
26/10/2023,1.819.171.115.074,23/11/2023,28,"133,0000","133,000","133,000"
24/10/2023,2.704.577.979.069,21/11/2023,28,"133,0000","133,000","133,000"
19/10/2023,1.260.555.499.624,16/11/2023,28,"133,0000","133,000","133,000"
17/10/2023,1.891.270.935.793,14/11/2023,28,"133,0000","133,000","133,000"
12/10/2023,959.436.819.728,09/11/2023,28,"118,0000","118,000","118,000"
10/10/2023,1.328.666.468.502,07/11/2023,28,"118,0000","118,000","118,000"
05/10/2023,1.981.916.023.294,02/11/2023,28,"118,0000","118,000","118,000"
03/10/2023,1.766.475.239.931,31/10/2023,28,"118,0000","118,000","118,000"
28/09/2023,1.415.611.000.000,26/10/2023,28,"118,0000","118,000","118,000"
26/09/2023,2.312.803.620.822,24/10/2023,28,"118,0000","118,000","118,000"
21/09/2023,2.240.965.711.240,19/10/2023,28,"118,0000","118,000","118,000"
